F606W flux (muJy),F814W flux (muJy),F125W flux (muJy),F160W flux (muJy),F606W err (muJy),F814W err (muJy),F125W err (muJy),F160W err (muJy),redshift
0.0516613,0.08013,0.0954802,0.095249,0.0123387,0.0151648,0.0179161,0.0157301,3.5097166666666664
0.176304,0.434394,0.62893,0.779018,0.0261825,0.0333629,0.173959,0.051598,0.9208666666666668
0.00859434,0.00755706,0.0106023,0.0519547,0.0242932,0.0430224,0.0204977,0.0186004,1.4034666666666666
0.347971,0.364939,0.591656,0.705788,0.018045,0.0212271,0.0378867,0.0315485,2.149516666666667
0.0401273,0.0665544,0.121863,0.164246,0.0130223,0.0148707,0.0166548,0.015891,1.2917666666666667
0.124217,0.211534,0.353713,0.471445,0.01467,0.0187057,0.0226963,0.0202607,1.0425000000000002
0.100346,0.106639,0.140143,0.202749,0.0141325,0.0168938,0.0326532,0.0285367,1.4556666666666667
0.0290841,0.0873659,0.150525,0.212077,0.0122704,0.0156015,0.0192454,0.017394,0.4637166666666666
0.432734,0.456592,0.52189,0.633804,0.0206515,0.0238056,0.0269159,0.0243799,1.9355166666666666
0.199262,0.47136,0.644964,0.810097,0.0308042,0.0436355,0.0806529,0.0704788,1.0919833333333333
0.0508349,0.0688257,-0.0976571,0.690612,0.0143622,0.0172758,0.109034,0.0339881,2.91705
0.168901,0.168514,0.301328,0.472096,0.0172713,0.0217619,0.0238668,0.022103,0.9055166666666667
0.0176605,0.0433423,0.099322,0.11025,0.0167427,0.0213752,0.0267013,0.0244096,0.6164999999999999
0.088528,0.220063,0.475782,0.599253,0.0160135,0.02031,0.0253114,0.0224515,0.8858166666666666
0.118814,0.134174,0.150576,0.228571,0.013378,0.0159,0.0271658,0.0238926,2.28655
0.114103,0.115609,0.157996,0.241469,0.0124774,0.014755,0.0175739,0.0164841,1.9069
0.750285,1.03414,1.27869,1.44035,0.0260547,0.0317387,0.0366562,0.0319034,0.35646666666666665
0.0604502,0.136929,0.216842,0.289927,0.0102494,0.0138734,0.0274703,0.0269456,0.6315
0.756108,1.00483,2.0826,2.57851,0.0424252,0.0473687,0.0530592,0.0474108,1.2352666666666667
0.422795,1.10314,2.25582,2.85064,0.028802,0.0383094,0.0481022,0.0432545,0.8709166666666666
0.355647,0.73024,1.25299,1.38311,0.0263136,0.0342042,0.0414628,0.0363915,0.7698166666666667
0.127643,0.28401,0.266065,0.308087,0.0190145,0.0246026,0.0290692,0.0257389,3.9188500000000004
0.0406766,0.0376779,0.0976319,0.0936724,0.0363842,0.0436112,0.0567584,0.0490716,3.14855
0.321638,0.580692,2.04224,2.62451,0.0337751,0.0389684,0.0466926,0.0420042,1.5437666666666665
0.547117,0.709579,1.38184,1.95156,0.0263359,0.0318686,0.055504,0.0459867,1.8324833333333335
0.198738,0.232968,0.253278,0.254046,0.0121979,0.0144403,0.0254632,0.0217573,0.8047333333333334
0.440101,0.53906,1.1463,1.20813,0.0247907,0.0296588,0.0369456,0.0326604,1.2620666666666667
0.266236,0.237045,0.361399,0.28785,0.016544,0.0186505,0.021858,0.0187214,0.8442499999999998
0.0696825,0.101883,0.337222,0.191575,0.0154863,0.019476,0.061147,0.020149,0.8012833333333332
0.12307,0.156619,0.181161,0.279211,0.0173931,0.0215703,0.025636,0.0242109,2.619766666666667
0.0343535,0.0648405,0.0858311,0.153296,0.0142001,0.0175388,0.0211901,0.0198044,1.0726666666666667
0.191921,0.221079,0.302471,0.286868,0.0188056,0.0221076,0.0193101,0.0164371,1.0008
0.0961563,0.0814692,0.149684,0.252583,0.0173975,0.0199996,0.0244289,0.0221356,1.0471333333333332
0.199526,0.31473,0.391145,0.450965,0.0192218,0.0241335,0.028138,0.0250281,0.8820166666666666
0.445506,0.621005,0.785772,0.720315,0.0227991,0.0276916,0.0317246,0.0264576,0.7824666666666666
0.0328529,0.0750448,0.089503,0.167762,0.0168923,0.0201588,0.0215319,0.0196877,0.9224833333333334
0.0550833,0.0392995,0.061149,0.0984563,0.00797088,0.00905125,0.010681,0.0100894,1.65735
0.222827,0.771064,1.24847,1.45226,0.0213565,0.0293234,0.0347523,0.0304984,0.9191166666666667
0.108473,0.10738,0.172422,0.274592,0.0126279,0.0145552,0.0174337,0.0162014,1.1577666666666666
0.775677,1.53043,1.98965,2.10172,0.0293156,0.0383984,0.0439811,0.0382259,0.9141833333333333
0.0417884,0.113535,0.174507,0.161084,0.0140515,0.0202027,0.019388,0.0170391,0.5922833333333334
0.0636543,0.0644736,0.0772705,0.152881,0.014418,0.0154787,0.0167036,0.0152268,0.9572666666666668
0.0703947,0.171125,0.232487,0.283931,0.0214581,0.0275405,0.0331816,0.0303564,0.8182499999999999
0.0440565,0.0649464,0.131456,0.210605,0.00911315,0.0114458,0.0288376,0.028389,0.99015
0.206165,0.333868,0.40566,0.49773,0.0119663,0.0155535,0.0383652,0.0327765,1.1426166666666668
0.0531753,0.0508962,0.0792659,0.1793,0.0072016,0.00892814,0.0191882,0.0189076,2.5464333333333333
0.0266625,0.102429,0.195578,0.220522,0.0147944,0.0191036,0.0237162,0.0212034,0.42815
0.215731,0.399756,0.6008,0.704641,0.0183684,0.0236563,0.0277985,0.0246731,0.9775666666666667
0.061125,0.0737404,0.135159,0.166653,0.0173022,0.0206229,0.024981,0.0231178,1.4563333333333333
0.0580807,0.0683796,0.0959949,0.117036,0.0125965,0.0152379,0.0192613,0.0163104,0.5297666666666666
1.33105,1.62562,1.80022,1.88954,0.0605882,0.0719884,0.0597324,0.0532258,0.06266666666666666
0.0552613,0.0687304,0.114205,0.218719,0.00877513,0.0110599,0.0234417,0.0199874,2.39065
0.048144,0.0574432,0.100042,0.0986977,0.0105772,0.0130006,0.0125123,0.0106248,1.5995166666666665
0.873906,1.48667,1.84008,1.75341,0.0317909,0.0403922,0.0496413,0.0390678,0.9541333333333334
0.0406952,0.0805357,0.192553,0.3515,0.0128654,0.0167963,0.0264112,0.0253655,2.2644333333333333
0.104951,0.213711,0.34472,0.40733,0.0171565,0.0212648,0.0288374,0.025706,0.6763166666666666
0.155869,0.12311,0.175307,0.289856,0.0199004,0.0228277,0.0282089,0.0260276,1.5323333333333335
0.0339409,0.03153,0.223189,0.270469,0.0134336,0.0163808,0.0208182,0.0190381,1.6271166666666668
0.307252,0.393058,0.779504,1.11194,0.0155218,0.0199133,0.0341619,0.0300002,1.8578999999999999
0.0778808,0.164112,0.221602,0.284175,0.0284638,0.034607,0.0297567,0.0273046,0.6808666666666667
0.0836127,0.0549231,0.0631204,0.131146,0.0269834,0.0311023,0.0384076,0.0333897,1.5323833333333334
0.323406,0.472506,1.22408,1.46448,0.0238814,0.0295995,0.0376169,0.0334819,1.7843166666666666
0.0116593,0.0393283,0.320407,0.441515,0.0276908,0.0344432,0.0428629,0.0389353,2.5311500000000002
0.900163,1.83854,3.08144,3.38327,0.0294032,0.0386565,0.0461818,0.0399325,0.9319000000000001
0.289733,0.362736,0.52761,0.608411,0.0231592,0.0274454,0.0369891,0.0322166,0.21575
0.102159,0.116392,0.209585,0.179411,0.0185414,0.0222735,0.0197414,0.0169896,0.9545333333333335
0.259941,0.19642,0.236047,0.338556,0.0160236,0.0180057,0.0207717,0.0193759,1.9375166666666666
0.170572,0.227034,0.313028,0.428428,0.0177495,0.0210589,0.0277383,0.0254026,0.8607333333333335
0.422494,0.517624,1.0266,1.40157,0.0286339,0.0345765,0.0421274,0.0382939,2.020516666666667
0.0390443,0.0405715,0.199588,0.263713,0.0248706,0.0310791,0.0383474,0.0340386,1.0266833333333334
0.108661,0.111908,0.178656,0.27504,0.0140926,0.0167146,0.0207234,0.0190794,1.4698333333333335
0.77712,0.914535,0.837396,0.773607,0.0240395,0.025926,0.0244543,0.0205495,0.13141666666666665
0.213278,0.511926,0.724515,0.845645,0.0258008,0.0313495,0.0334852,0.0297426,0.8894166666666666
0.72538,0.848821,1.73327,2.31081,0.0189042,0.023073,0.0593535,0.0529864,2.004233333333333
0.574791,0.723008,1.43536,1.50247,0.0344552,0.0433953,0.0451491,0.0402415,1.5091999999999999
0.111623,0.116169,0.190376,0.312317,0.01836,0.0225616,0.0382226,0.035122,1.0951166666666667
0.0540444,0.045962,0.112945,0.124062,0.015137,0.017039,0.0175871,0.0163791,1.3897166666666667
0.110584,0.121613,0.132665,0.20814,0.0136332,0.0165203,0.0194367,0.0169807,1.8369499999999999
0.387907,1.16198,3.50022,5.09528,0.0319149,0.0418331,0.0549512,0.0501447,0.9608833333333333
2.32497,3.47603,4.35742,4.38504,0.0264375,0.0329417,0.0714806,0.0507943,0.65535
0.157994,0.189698,0.461975,0.577503,0.021472,0.0245678,0.0229569,0.0199093,1.4055833333333332
0.238376,0.230092,0.322656,0.547287,0.0174121,0.020585,0.0242641,0.0220004,1.8759333333333335
1.60286,2.72004,3.33694,3.48512,0.0286784,0.0368645,0.0456523,0.0378548,0.7228833333333333
0.0347047,0.0418948,0.111993,0.127735,0.0107331,0.0132731,0.0168456,0.0164268,0.9689333333333332
0.942446,2.54943,4.66183,5.87195,0.0333145,0.0460606,0.0558883,0.0498596,0.7494000000000001
0.0316873,0.0319519,0.0530497,0.105874,0.00939318,0.0111111,0.066942,0.0179755,1.5723500000000001
0.156268,0.31904,0.519868,0.582327,0.016567,0.0217938,0.0259443,0.0227158,0.40981666666666666
0.173727,0.175265,0.381624,0.417224,0.0170648,0.0202243,0.0252814,0.0222947,1.4951666666666668
0.0676452,0.0989084,0.105681,0.132636,0.00856483,0.0109567,0.0173799,0.0157614,0.4290833333333333
0.471089,0.449473,0.527766,0.770633,0.0256279,0.0303104,0.0355776,0.0321993,2.2472166666666666
0.0865581,0.0852835,0.133794,0.139627,0.0215552,0.025163,0.0222029,0.0201127,1.2573999999999999
0.061879,0.0805773,0.0925115,0.137242,0.0149389,0.0180851,0.021111,0.0192587,0.3814666666666667
0.273175,0.318422,1.10295,1.67071,0.03057,0.0344325,0.0402499,0.0371587,2.0366666666666666
0.0855462,0.181304,0.248486,0.308458,0.010907,0.0135996,0.0242334,0.0232341,0.47625000000000006
0.073585,0.229354,0.299738,0.333506,0.0129417,0.0171258,0.0196999,0.0175555,0.8117000000000001
0.123662,0.138406,0.335436,0.466151,0.0145527,0.0164716,0.0322058,0.0285185,1.9327833333333333
0.0416527,0.0850604,0.159848,0.185749,0.00949545,0.0119453,0.0200742,0.0180291,1.3914666666666669
0.236257,0.249794,0.233061,0.406063,0.0256353,0.0310772,0.055116,0.0556868,0.9968833333333332
0.38315,0.468557,0.542213,0.569644,0.0138951,0.0175326,0.0263047,0.0227284,0.39198333333333335
0.0364078,0.0478894,0.100161,0.131725,0.0131797,0.0161882,0.0195084,0.0178782,1.5607333333333333
0.0892671,0.120314,0.21445,0.24181,0.0140328,0.0171698,0.0207639,0.018055,0.59665
0.129803,0.167543,0.277974,0.449902,0.0167597,0.0209775,0.0244875,0.0219367,2.099016666666667
0.13443,0.141307,0.0955774,0.165566,0.0115822,0.0143329,0.0173836,0.0159677,2.9139166666666667
0.0645377,0.0711144,0.0875331,0.1783,0.0124129,0.0149616,0.0174658,0.0160344,0.9479000000000001
0.0310661,0.107818,0.167102,0.255206,0.0144612,0.0178148,0.0317363,0.0294189,0.8237833333333334
0.278502,0.254263,0.389985,0.586188,0.0173865,0.0203932,0.0395029,0.0310178,1.6679166666666667
0.0403357,0.119532,0.100669,0.131195,0.00967268,0.0129027,0.0175192,0.0159391,3.6120666666666668
0.0911482,0.12452,0.225087,0.332436,0.0104886,0.0127647,0.0206525,0.018835,1.07595
0.0314201,0.114819,0.174207,0.236858,0.0148655,0.0193058,0.0234247,0.0207674,2.4250833333333333
0.65926,1.41459,2.38431,2.41673,0.0285322,0.0364122,0.0845413,0.0571193,0.9470999999999998
1.17073,1.50226,1.81325,2.01409,0.019274,0.0235313,0.0363544,0.031312,0.34800000000000003
0.484199,0.676678,0.780429,0.840391,0.0229189,0.0262236,0.0264936,0.0224872,0.07529999999999999
0.0189389,0.0327932,0.108704,0.0959368,0.0111384,0.014085,0.0263212,0.0227483,0.78245
0.0557111,0.112016,0.151721,0.195944,0.0166872,0.0213841,0.0224125,0.0188351,0.32025
0.159564,0.251043,0.364239,0.5834,0.0303371,0.0372524,0.068948,0.060227,1.1604666666666665
0.136292,0.274438,0.785114,0.997282,0.0206827,0.0262825,0.0331844,0.0294506,0.9232833333333333
1.07677,1.4499,2.08447,2.88777,0.0484183,0.0593616,0.0769077,0.0651931,0.21321666666666664
0.0910408,0.101828,0.191108,0.261813,0.0120927,0.0146923,0.0176485,0.0159027,1.196783333333333
0.236243,1.32338,7.05402,10.3403,0.0643431,0.0811341,0.0812725,0.073662,1.2031833333333333
0.408877,0.679535,0.867844,0.965626,0.02039,0.0259321,0.0296742,0.0264137,0.6435833333333334
0.187216,0.182967,0.271888,0.412916,0.0131776,0.0157009,0.0238491,0.0210264,1.94995
0.0509926,0.0726767,0.0957598,0.0944312,0.0113373,0.0138408,0.0231731,0.0191933,0.63005
0.0301572,0.0375819,0.0330385,0.132418,0.0346324,0.0419815,0.0526159,0.045422,1.0928333333333333
0.166439,0.169586,0.28936,0.484616,0.0125498,0.015032,0.0225318,0.0206943,1.5977666666666668
0.117297,0.192029,0.253262,0.303117,0.0160719,0.0198738,0.0230843,0.0211135,1.0322166666666666
1.55188,2.26473,2.93819,3.32978,0.0319703,0.0398045,0.0445901,0.0388722,0.34356666666666663
0.0693268,0.115929,0.149221,0.198254,0.0126352,0.0155749,0.0179691,0.0162938,0.6517166666666667
0.12074,0.22868,0.31347,0.385891,0.0168023,0.0207222,0.0366548,0.0217503,1.5870499999999998
1.06073,1.54818,1.94238,2.12776,0.0276821,0.0347051,0.0385029,0.0337473,0.13023333333333334
0.446083,0.652365,0.728011,0.615116,0.0181819,0.0235412,0.0245997,0.0210232,0.9194999999999999
0.0615845,0.190046,0.32095,0.361462,0.0267342,0.0350105,0.0303779,0.0272624,0.9804166666666667
0.506378,0.685336,1.46912,1.93057,0.0254073,0.0310754,0.0386488,0.0350637,1.9086333333333332
0.0827698,0.255628,1.28246,1.95943,0.0186588,0.0243776,0.033756,0.030672,1.3706166666666668
0.427099,1.00705,1.96828,2.31055,0.0228695,0.0308103,0.0564221,0.0405981,0.9807666666666668
1.48265,2.16107,2.73495,3.09884,0.0385898,0.0506071,0.0534991,0.0473997,0.3450166666666667
0.117175,0.144086,0.33459,0.33544,0.0204303,0.0243665,0.0225361,0.0195724,1.7075666666666667
0.108699,0.198691,0.221615,0.236024,0.010181,0.0138177,0.017579,0.0149625,0.6459333333333334
0.344662,0.339747,0.377063,0.497543,0.0224512,0.0260015,0.0301108,0.0269199,2.507016666666667
0.0414048,0.142777,0.291284,0.287808,0.0101032,0.0133313,0.0164791,0.0144293,0.6010666666666666
0.0301459,0.0271117,0.0688448,0.0941717,0.00662601,0.00793994,0.0120561,0.0109723,1.4605666666666666
0.25193,0.262325,0.483474,0.612671,0.0189382,0.0223514,0.0282707,0.0247965,1.9910333333333332
0.0470137,0.0791255,0.10576,0.223788,0.0403648,0.0479543,0.0559856,0.0515756,1.7547666666666668
0.0207783,0.0326282,0.032048,0.0985603,0.00701111,0.00950007,0.0103497,0.00965278,2.4616666666666664
0.0677236,0.0688439,0.0758855,0.0918908,0.00868698,0.0101827,0.0116341,0.0104604,1.3868
12.806,49.6904,96.392,105.863,0.0826543,0.142999,0.179928,0.146178,1.31515
0.137268,0.165814,0.290201,0.373987,0.0165112,0.0202359,0.0246067,0.0216799,1.7313333333333334
0.0508183,0.03974,0.121545,0.124631,0.0174417,0.0208468,0.0265265,0.0236757,1.563416666666667
0.0757958,0.0765376,0.186414,0.241259,0.0135779,0.0164933,0.0164006,0.0144013,0.9092666666666668
0.0714204,0.145418,0.201233,0.207211,0.0146453,0.0186957,0.0222968,0.0203024,0.8762833333333333
0.427605,0.851551,1.24893,1.37937,0.0188399,0.0248713,0.0291786,0.0250777,0.33946666666666664
0.166722,0.20235,0.530758,0.722707,0.0201703,0.0243468,0.0301033,0.0275626,1.5624166666666668
0.102029,0.105667,0.093568,0.129172,0.0169271,0.0198388,0.0220322,0.0200469,1.5732
0.105491,0.208149,0.235693,0.259429,0.0190724,0.0255598,0.0204423,0.017966,0.6664499999999999
0.524974,0.714175,1.31601,1.59804,0.0278474,0.0342756,0.0371591,0.03106,1.2222333333333333
0.195375,0.145176,0.445867,0.39938,0.0267542,0.0313211,0.0386001,0.0335939,1.3568
0.153556,0.215467,0.268774,0.375293,0.0176367,0.0208897,0.0249677,0.022162,0.5338666666666666
0.04737,0.0748852,0.0681827,0.119487,0.0116228,0.0144519,0.02058,0.0175496,0.3948833333333333
0.124753,0.119236,0.885544,1.63287,0.0325858,0.0401749,0.0403444,0.0371326,1.8363333333333332
-0.0067219,-0.00931508,-0.225243,0.0563172,0.00742974,0.00956278,0.0418679,0.0150235,6.2138333333333335
0.147987,0.206893,0.236107,0.430658,0.0186988,0.0227132,0.0268186,0.0246708,1.9763833333333334
0.135775,0.221637,0.270089,0.231772,0.0324448,0.0415408,0.0485943,0.0428032,1.0662999999999998
0.122049,0.194147,0.261839,0.322685,0.0201399,0.0247638,0.021065,0.0190841,1.1873166666666666
0.19874,0.343952,0.376015,0.455175,0.0126488,0.015981,0.022042,0.0196393,0.6989833333333334
0.532515,0.642848,0.853174,1.55938,0.0295566,0.0377954,0.0427877,0.0395627,2.4572499999999997
0.074836,0.143346,0.212004,0.197943,0.0182643,0.0231852,0.040911,0.036374,0.87715
-0.00705485,-0.000543167,-0.0463645,-0.0167567,0.019631,0.0234832,0.0754733,0.0523134,4.746566666666667
0.115592,0.115767,0.129724,0.116634,0.0157579,0.0204182,0.0236156,0.0202862,0.287
0.103908,0.149745,0.138316,0.192825,0.0189214,0.0236094,0.0269967,0.0242261,0.28686666666666666
0.0116474,-0.00985623,-0.0148636,0.0509914,0.0163686,0.020424,0.0339438,0.0323484,5.381333333333333
0.133153,0.220657,0.429609,0.638459,0.0414755,0.0521613,0.092329,0.0801579,0.11653333333333334
0.447665,0.608497,0.954117,1.17592,0.0355464,0.044139,0.0830549,0.0737471,0.6186666666666666
0.00786931,0.123112,0.798183,2.1619,0.02859,0.0359176,0.0467285,0.0452462,2.412166666666667
0.112519,0.109875,0.206414,0.153475,0.00948607,0.0107252,0.0177197,0.0148279,1.2858833333333333
0.0848891,0.076366,0.0334414,0.104106,0.0203618,0.0233141,0.0186112,0.0174709,3.0805833333333332
0.654292,0.777916,0.956437,0.964816,0.0418897,0.0492356,0.0412716,0.0359635,0.2250833333333333
0.107274,0.154141,0.342837,0.38634,0.0177878,0.0207854,0.0253475,0.0225228,1.12055
0.0112848,-0.00184461,3.08086,0.668373,0.0594706,0.0738185,0.458905,0.104685,6.8760200000000005
0.0273991,0.0541695,0.0672641,0.0638874,0.014693,0.0191954,0.0215904,0.0189306,0.46935
0.0904418,0.120768,0.117127,0.135847,0.016473,0.0200036,0.0168743,0.0145431,0.31093333333333334
0.0235176,0.0363723,0.124867,0.158046,0.0146446,0.0178226,0.0162773,0.015313,1.0552333333333335
0.171844,0.243778,0.238588,0.275783,0.0204468,0.024887,0.0201935,0.0180622,0.4626166666666667
0.0342262,0.0743652,0.087083,0.111605,0.0100035,0.0127103,0.0147246,0.0133201,0.9089499999999999
0.318551,0.43362,0.428901,0.534899,0.0224029,0.0273133,0.0298775,0.0271059,0.31528333333333336
0.0553222,0.0881615,0.175107,0.227041,0.0126231,0.0158581,0.0240156,0.0219061,1.6627833333333335
0.179341,0.138312,0.120188,0.29012,0.0173129,0.0193014,0.0182893,0.0157193,0.94985
0.0522694,0.109501,0.142192,0.169224,0.00877552,0.010833,0.0170911,0.0151848,0.6193833333333333
21.2684,68.4731,119.259,148.517,0.0778926,0.134175,0.299099,0.239656,1.2002666666666668
0.0725301,0.0562224,0.153214,0.20945,0.0131547,0.0157208,0.019757,0.0177508,1.5569
0.0550418,0.0960507,0.107509,0.159864,0.0119297,0.0157621,0.0205445,0.0190443,3.6281499999999998
0.0943638,0.144714,0.173831,0.171755,0.0107549,0.0129938,0.0186453,0.0165816,0.4615666666666667
0.190162,0.213972,0.228684,0.356612,0.011808,0.0142916,0.0202241,0.0178887,2.32215
0.581617,1.12446,1.62606,1.67252,0.0238202,0.0313807,0.0361121,0.0308869,0.7566
0.372106,0.707965,0.977125,1.11216,0.0255324,0.0326611,0.0564202,0.0471253,0.7274666666666666
0.295844,0.665551,1.06401,1.20772,0.0267589,0.0347523,0.0301082,0.0261744,0.8556499999999999
0.0927523,0.110634,0.0742662,0.101596,0.0194189,0.0225273,0.0177638,0.0160604,3.1209166666666666
0.0604058,0.0836568,0.101858,0.137932,0.012974,0.0162152,0.0188267,0.016878,2.0250166666666667
0.154136,0.144495,0.327401,0.334566,0.0145561,0.0170799,0.0210122,0.0187821,1.4095833333333332
0.0647719,0.0629487,0.0697607,0.0877984,0.0127091,0.0147285,0.0162545,0.0147971,1.0067000000000002
0.0610586,0.110931,0.152098,0.16012,0.0114113,0.0149808,0.0201437,0.0174723,0.8279500000000001
-0.0153609,-0.0329768,0.0444863,0.203782,0.0355105,0.0447601,0.156417,0.0692484,5.421166666666667
0.219543,0.234261,0.323107,0.549692,0.0210646,0.0252626,0.0301276,0.0276453,1.6048499999999999
0.0810046,0.0918213,0.102598,0.127807,0.00766099,0.00921541,0.0184748,0.0160928,3.1101833333333335
0.097896,0.105811,0.106665,0.167179,0.0160727,0.019075,0.022177,0.0214749,2.6161
0.0992103,0.146196,0.282727,0.32904,0.0171441,0.0207021,0.0187471,0.0162234,1.19335
0.0412413,0.0438727,0.10345,0.144718,0.012284,0.0141715,0.0392018,0.0311488,1.3659333333333332
0.0619565,0.0363385,0.127792,0.14594,0.0175264,0.0196977,0.0181368,0.0172365,1.6002666666666665
0.251811,0.302877,0.358201,0.362553,0.0144495,0.0161425,0.0220213,0.0195892,0.3310166666666667
0.0185495,0.0493976,0.0954577,0.116546,0.0109348,0.013879,0.0175739,0.0151973,0.49593333333333334
0.53562,1.15549,1.80618,2.19867,0.0355517,0.0459773,0.0396471,0.0348589,0.6961333333333334
0.201497,0.223168,0.210562,0.317663,0.0129938,0.016398,0.0202616,0.0187224,2.19435
0.0220276,0.0156807,0.0412062,0.0742337,0.00750124,0.00906327,0.0113202,0.0102136,1.6921333333333333
0.0912326,0.172809,0.281578,0.283528,0.0140749,0.0180201,0.0213574,0.0190279,0.6810333333333333
0.58338,2.24263,7.37304,12.5101,0.0415154,0.0561057,0.073351,0.0685567,0.7705666666666667
0.0331463,0.0668895,0.117656,0.143404,0.0109782,0.0139037,0.0164425,0.0147045,1.0319833333333335
0.397818,0.889758,2.25783,2.3861,0.0276955,0.0362696,0.0549968,0.0400968,0.8240666666666666
0.065953,0.0661786,0.0756385,0.177509,0.00901362,0.0112584,0.0219172,0.0196927,1.1826
0.0103578,0.0347526,0.0452236,0.0758953,0.00908202,0.0121516,0.0138985,0.0126974,0.7390166666666667
0.0205157,-0.0244671,0.367195,0.285979,0.0330385,0.0409369,0.120595,0.0552757,6.481750000000001
2.08632,3.62331,4.84665,5.85821,0.0390175,0.0508258,0.0565392,0.0496493,0.48889999999999995
13.8945,36.0684,62.4547,68.0388,0.0732812,0.118713,0.140449,0.110788,2.3981683333333335
0.182476,0.253429,0.537418,0.811074,0.0106751,0.0139304,0.0353276,0.0294547,2.20095
0.0624444,0.171333,0.8269,1.38005,0.0232783,0.0293066,0.0371225,0.034573,1.62195
0.059865,0.0533285,0.159319,0.253714,0.0164152,0.01905,0.0244804,0.0224328,2.6531333333333333
0.0682424,0.0832466,0.113998,0.224953,0.0152881,0.0189736,0.0222736,0.0208773,2.41975
0.341928,1.30066,3.78633,5.20382,0.028449,0.0390337,0.0517776,0.0462824,0.9531000000000001
0.282454,0.315409,0.361371,0.517887,0.028332,0.0344134,0.0389799,0.0350339,0.5823333333333333
0.044089,0.0794079,0.110302,0.112977,0.0111977,0.0138408,0.0184049,0.0171738,0.92245
-0.037717,0.131703,0.140404,0.322189,0.0317102,0.0406606,0.0488917,0.045094,1.1670833333333333
0.143367,0.19216,0.419682,0.459497,0.0148261,0.0185495,0.028409,0.0250353,1.0096
0.365109,0.616736,0.590294,0.710914,0.0199429,0.0253942,0.0271269,0.0241992,0.6352666666666666
0.228727,0.234596,0.491273,0.55027,0.0150895,0.0175293,0.024482,0.0219509,1.5708833333333334
0.986259,1.15083,2.50854,2.51386,0.0363661,0.0403043,0.0449923,0.0385405,1.3635166666666667
0.0269942,0.0748089,0.0733028,0.096216,0.0105711,0.0136357,0.0157545,0.0129348,0.8028333333333334
0.0801716,0.182155,0.24976,0.284861,0.01276,0.0169892,0.0221782,0.0193605,0.8165833333333334
0.146974,0.208331,0.160269,0.167897,0.0181832,0.0218272,0.016798,0.0155484,0.3827333333333333
0.036622,0.0963783,0.111971,0.120394,0.0206496,0.0274023,0.031922,0.0278556,4.97145
0.0558049,0.0521881,0.146116,0.154917,0.0137697,0.0168051,0.0209904,0.0184865,1.1800333333333333
